id,name,variant,band,cost,coverage,best_stake,best_gtype,best_fill,best_d_hr,best_d_hr_per_chip,best_d_bbhr,best_d_bbhr_per_chip,home_median_bbhr_per_chip,home_gtype,home_allgtype_median,home_best_bbhr_per_chip,home_median_d_hr_per_chip,proc_hr_act1,proc_hr_act2,proc_hr_late
wall_hanger,Wall Hanger,base,A,2,modeled,s001,six_max,capped,117.92000000000007,58.960000000000036,5896,2948,1544.9279999999999,six_max,301.5454545454462,2948,6.030909090910628,0,0,0
wall_hanger,Wall Hanger,corrupt,A,2,modeled,s001,six_max,capped,2358.4,1179.2,117920.00000000003,58960.000000000015,30898.560000000005,six_max,6030.909090909188,58960.000000000015,120.61818181818154,0,0,0
mirror,Mirror,base,A,3,modeled,s006,hu,capped,6298750000,2099583333.3333333,6298.75,2099.5833333333335,1493.0583333333332,hu,0,1590.6871212119986,0,0,0,0
mirror,Mirror,corrupt,A,2,modeled,s006,hu,capped,22045625000,11022812500,22045.625,11022.8125,7158.092045454498,hu,0,7838.55625,0,0,0,0
fight_night_poster,Fight Night Poster,base,A,4,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
fight_night_poster,Fight Night Poster,corrupt,A,3,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
energy_drink,Energy Drink,base,A,3,proc,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,10.385026244721688,104544.43498715915,730227434360.5029
energy_drink,Energy Drink,corrupt,A,2,proc,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,25.96256561180422,261361.0874678979,1825568585901.257
corkboard,Corkboard,base,A,4,modeled,s006,zoom,naked,3190335129.3104935,797583782.3276234,3190.335129310508,797.583782327627,559.8968749999995,hu,390.77177487554945,645.2337499999994,7.815435497510979,0,0,0
corkboard,Corkboard,corrupt,A,2,modeled,s006,zoom,naked,12761340517.241997,6380670258.620998,12761.34051724201,6380.670258621005,4479.174999999997,hu,2592.7497865666837,5161.870000000003,51.854995731334476,0,0,0
stack_of_books,Stack of Books,base,A,4,modeled,s001,zoom,capped,14.361702127661204,3.590425531915301,718.085106382503,179.52127659562575,166.44886363634032,zoom,23.448750000000928,179.52127659562575,0.46897500000000747,0,0,0
stack_of_books,Stack of Books,corrupt,A,3,modeled,s001,zoom,capped,25.851063829781253,8.617021276593752,1292.5531914896237,430.8510638298746,399.4772727272618,zoom,56.27700000000125,430.8510638298746,1.12554000000002,0,0,0
throw_pillow,Throw Pillow,base,A,4,modeled,s004,zoom,naked,201360.9375,50340.234375,2013.609375,503.40234375,40.21171874999936,hu,2.5552783305470257,68.12812499999995,0.05110556661094279,0,0,0
throw_pillow,Throw Pillow,corrupt,A,2,modeled,s001,zoom,capped,0,0,0,0,0,ko,-24.150351477609092,0,-0.48300702955217645,0,0,0
starter_gift_box,Starter Gift Box,base,A,4,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
starter_gift_box,Starter Gift Box,corrupt,A,3,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
lava_lamp,Lava Lamp,base,A,5,modeled,s001,zoom,mid,21.04343181817876,4.208686363635752,1052.1715909090472,210.43431818180943,198.19148936175043,zoom,59.85224999999987,210.43431818180943,1.197045,0,0,0
lava_lamp,Lava Lamp,corrupt,A,3,modeled,s001,zoom,mid,63.13029545454751,21.0434318181825,3156.5147727272615,1052.1715909090872,990.957446808375,zoom,299.2612500000007,1052.1715909090872,5.98522500000002,0,0,0
comfort_bed,Comfort Bed,base,A,4,modeled,s006,zoom,naked,4556819531.25,1139204882.8125,4556.819531250003,1139.2048828125007,80.90296874999922,hu,0.07858124999984284,107.8706249999999,0.0015716249999968568,0,0,0
comfort_bed,Comfort Bed,corrupt,A,2,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
yellow_sticky_note,Yellow Sticky Note,base,A,5,modeled,s001,six_max,capped,170.96725000000004,34.193450000000006,8548.362500000003,1709.6725000000006,978.399300000001,six_max,501.8823863636762,1709.6725000000006,10.037647727272622,0,0,0
yellow_sticky_note,Yellow Sticky Note,corrupt,A,4,modeled,s001,six_max,capped,2051.6070000000004,512.9017500000001,102580.35,25645.0875,14675.9895,six_max,7528.235795454595,25645.0875,150.56471590909078,0,0,0
rubber_duck,Rubber Duck,base,A,5,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
rubber_duck,Rubber Duck,corrupt,A,2,modeled,s001,ko,naked,0,0,0,0,0,ko,-1686.0900000000008,0,-33.7218,0,0,0
stash_box,Stash Box,base,B,6,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
stash_box,Stash Box,corrupt,B,3,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
dogs_playing_poker,Dogs Playing Poker,base,B,6,proc,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,28.79630361357598,237360.0948169373,407877525068.012
dogs_playing_poker,Dogs Playing Poker,corrupt,B,3,proc,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,40.31482505900637,332304.13274371217,571028535095.2168
calculator,Calculator,base,B,7,modeled,s006,zoom,mid,7879885513.961628,1125697930.5659468,7879.885513961621,1125.6979305659459,434.3467821428577,six_max,141.29438931644927,913.5090535714293,2.825887786329864,0,0,0
calculator,Calculator,corrupt,B,4,modeled,s001,zoom,capped,2222.92566138546,555.731415346365,111146.28306927299,27786.570767318248,8795.894162220999,six_max,2397.318122387293,27786.570767318248,47.94636244774837,0,0,0
ring_binder,Ring Binder,base,B,7,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
ring_binder,Ring Binder,corrupt,B,4,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
space_heater,Space Heater,base,B,8,modeled,s006,zoom,naked,11238294375,1404786796.875,11238.294375000005,1404.7867968750006,116.09156249999955,hu,15.330726869156507,168.51375000000002,0.3066145373831217,0,0,0
space_heater,Space Heater,corrupt,B,8,modeled,s001,ko,naked,0,0,0,0,0,ko,-153.30726869163283,0,-3.0661453738319566,0,0,0
pencil_holder,Pencil Holder,base,B,8,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
pencil_holder,Pencil Holder,corrupt,B,4,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
bonsai,Bonsai,base,B,10,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
bonsai,Bonsai,corrupt,B,5,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
desk_plant,Desk Plant,base,B,8,modeled,s001,six_max,capped,61.94244000000003,7.742805000000004,3097.122000000003,387.1402500000004,263.68125000000055,six_max,0,387.1402500000004,0,0,0,0
desk_plant,Desk Plant,corrupt,B,5,modeled,s006,six_max,capped,15734250000.000002,3146850000.0000005,15734.25,3146.85,2461.0250000000015,six_max,0,2890.647200000001,0,0,0,0
desk,Desk,base,B,9,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
desk,Desk,corrupt,B,5,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
rebuy_sticky_note,Rebuy Sticky Note,base,B,10,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
rebuy_sticky_note,Rebuy Sticky Note,corrupt,B,5,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
gaming_chair,Gaming Chair,base,B,10,proc,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,34.55556433629118,253184.10113806638,367089772561.2109
gaming_chair,Gaming Chair,corrupt,B,5,partial,s001,ko,naked,0,0,0,0,0,ko,-49.058325981299774,0,-0.9811665196260038,34.55556433629118,253184.10113806638,367089772561.2109
headset,Headset,base,B,6,modeled,s006,zoom,naked,3828402155.1723633,638067025.8620605,3828.402155172378,638.067025862063,183.59122540948132,zoom,0,351.0407138595001,0,0,0,0
headset,Headset,corrupt,B,5,modeled,s006,zoom,naked,22332345905.172367,4466469181.034473,22332.345905172384,4466.469181034477,1053.1221415787252,zoom,0,1060.7643278277524,0,0,0,0
prize_vase,Prize Vase,base,C,12,proc,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,-655597.1168132952,114028560326.04865
prize_vase,Prize Vase,corrupt,C,6,proc,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,-643669.723594408,342085680978.16644
compact_fridge,Compact Fridge,base,B,12,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
compact_fridge,Compact Fridge,corrupt,B,6,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
wall_clock,Wall Clock,base,B,12,proc,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,20.979500663810413,59383.46996541566,109168779231.44493
wall_clock,Wall Clock,corrupt,B,7,partial,s001,ko,naked,0,0,0,0,0,ko,-43.80207676901783,0,-0.8760415353803584,20.979500663810413,59383.46996541566,109168779231.44493
house_cat,House Cat,base,B,8,proc,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
house_cat,House Cat,corrupt,B,4,proc,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
candle,Candle,base,B,7,proc,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,28.79630361357598,210986.75094838868,305908143801.00903
dusty_console,Dusty Console,base,B,5,modeled,s006,hu,capped,1889625000,377925000,1889.625,377.925,268.75049999999936,hu,0,286.32368181819913,0,0,0,0
handheld,Handheld,base,B,5,modeled,s006,zoom,naked,1914201077.5867538,382840215.5173508,1914.2010775867602,382.840215517352,110.15473524567714,zoom,0,210.62442831570078,0,0,0,0
red_rug,Red Rug,base,B,8,modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
dish_soap,Dish Soap,base,B,12,proc,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
rolled_vouchers,Rolled Vouchers,base,C,9,proc,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
rolled_vouchers,Rolled Vouchers,corrupt,C,5,proc,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
second_monitor,Second Monitor,base,C,10,modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
second_monitor,Second Monitor,corrupt,C,6,modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
laptop_terminal,Laptop Terminal,base,D,12,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
laptop_terminal,Laptop Terminal,corrupt,D,6,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
gaming_keyboard,Gaming Keyboard,base,D,12,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
gaming_keyboard,Gaming Keyboard,corrupt,D,6,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
box_of_mice,Box of Mice,base,D,13,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
box_of_mice,Box of Mice,corrupt,D,7,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
wacom_tablet,Wacom Tablet,base,D,13,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
wacom_tablet,Wacom Tablet,corrupt,D,7,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
desk_lamp,Desk Lamp,base,D,10,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
desk_lamp,Desk Lamp,corrupt,D,6,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
telephone,Telephone,base,D,12,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
glass_partition,Glass Partition,base,D,12,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
electric_kettle,Electric Kettle,base,D,11,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
electric_kettle,Electric Kettle,corrupt,D,8,not modeled,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
chrome_toaster,Chrome Toaster,base,D,14,not modeled,s001,zoom,capped,124.69787234042616,8.906990881459011,6234.893617020753,445.3495440729109,66.52808747746856,zoom,4.941071428571247,124.0645559210519,1084.651428571426,0,0,0
chrome_toaster,Chrome Toaster,corrupt,D,8,not modeled,s001,zoom,capped,545.553191489355,68.19414893616937,27277.65957446775,3409.707446808469,509.35566974927303,zoom,37.830078125,949.8692562705563,8304.362499999997,0,0,0
first_aid_kit,First Aid Kit,base,D,16,proc,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,20000,640000000000
first_aid_kit,First Aid Kit,corrupt,D,8,partial,s001,ko,naked,0,0,0,0,0,ko,-44.644948660734144,0,-8757.468069089064,0,20000,640000000000
nightstand,Nightstand,base,D,13,proc,s001,six_max,naked,0,0,0,0,0,six_max,0,0,0,0,0,0
