a,b,stake,gtype,fill,d_a,d_b,d_both,synergy,synergy_rel
wall_hanger,mirror,s001,six_max,naked,147.8399999999997,0,147.8399999999997,0,0
wall_hanger,corkboard,s001,six_max,naked,147.8399999999997,523.2849999999994,688.7250000000004,17.600000000001273,0.026224622834794258
wall_hanger,stack_of_books,s001,six_max,naked,147.8399999999997,163.79999999999973,311.6399999999999,4.547473508864641e-13,1.4592072612195642e-15
wall_hanger,throw_pillow,s001,six_max,naked,147.8399999999997,43.02149999999938,190.86149999999952,4.547473508864641e-13,2.382603882325489e-15
wall_hanger,lava_lamp,s001,six_max,naked,147.8399999999997,460.404,608.2439999999997,0,0
wall_hanger,comfort_bed,s001,six_max,naked,147.8399999999997,1.104899999999816,148.94489999999996,4.547473508864641e-13,3.0531246849436644e-15
wall_hanger,sticky_notes,s001,six_max,naked,147.8399999999997,973.5599999999995,1158.3599999999997,36.96000000000049,0.032958801498127806
wall_hanger,calculator,s001,six_max,naked,147.8399999999997,0,147.8399999999997,0,0
wall_hanger,space_heater,s001,six_max,naked,147.8399999999997,138.4692,286.30920000000015,4.547473508864641e-13,1.5883085520355777e-15
wall_hanger,desk_plant,s001,six_max,naked,147.8399999999997,627.9420000000005,796.902,21.11999999999989,0.027224142864876844
wall_hanger,headset,s001,six_max,naked,147.8399999999997,0,147.8399999999997,0,0
wall_hanger,nes_console,s001,six_max,naked,147.8399999999997,0,147.8399999999997,0,0
wall_hanger,gameboy,s001,six_max,naked,147.8399999999997,0,147.8399999999997,0,0
wall_hanger,red_rug,s001,six_max,naked,147.8399999999997,0,147.8399999999997,0,0
wall_hanger,second_monitor,s001,six_max,naked,147.8399999999997,0,147.8399999999997,0,0
wall_hanger,toaster,s001,six_max,naked,147.8399999999997,625.1428799999994,903.0820800000001,130.09920000000102,0.16830799667904828
wall_hanger,nightstand,s001,six_max,naked,147.8399999999997,0,147.8399999999997,0,0
wall_hanger,desk_speakers,s001,six_max,naked,147.8399999999997,0,147.8399999999997,0,0
wall_hanger,bookshelf,s001,six_max,naked,147.8399999999997,0,147.8399999999997,0,0
mirror,corkboard,s001,six_max,naked,0,523.2849999999994,523.2849999999994,0,0
mirror,stack_of_books,s001,six_max,naked,0,163.79999999999973,163.79999999999973,0,0
mirror,throw_pillow,s001,six_max,naked,0,43.02149999999938,43.02149999999938,0,0
mirror,lava_lamp,s001,six_max,naked,0,460.404,460.404,0,0
mirror,comfort_bed,s001,six_max,naked,0,1.104899999999816,1.104899999999816,0,0
mirror,sticky_notes,s001,six_max,naked,0,973.5599999999995,973.5599999999995,0,0
mirror,calculator,s001,six_max,naked,0,0,0,0,0
mirror,space_heater,s001,six_max,naked,0,138.4692,138.4692,0,0
mirror,desk_plant,s001,six_max,naked,0,627.9420000000005,627.9420000000005,0,0
mirror,headset,s001,six_max,naked,0,0,0,0,0
mirror,nes_console,s001,six_max,naked,0,0,0,0,0
mirror,gameboy,s001,six_max,naked,0,0,0,0,0
mirror,red_rug,s001,six_max,naked,0,0,0,0,0
mirror,second_monitor,s001,six_max,naked,0,0,0,0,0
mirror,toaster,s001,six_max,naked,0,625.1428799999994,625.1428799999994,0,0
mirror,nightstand,s001,six_max,naked,0,0,0,0,0
mirror,desk_speakers,s001,six_max,naked,0,0,0,0,0
mirror,bookshelf,s001,six_max,naked,0,0,0,0,0
corkboard,stack_of_books,s001,six_max,naked,523.2849999999994,163.79999999999973,706.585,19.50000000000091,0.028380768027246896
corkboard,throw_pillow,s001,six_max,naked,523.2849999999994,43.02149999999938,562.597749999999,-3.7087499999997817,-0.006549015418328749
corkboard,lava_lamp,s001,six_max,naked,523.2849999999994,460.404,1038.4989999999998,54.8100000000004,0.05571882983341324
corkboard,comfort_bed,s001,six_max,naked,523.2849999999994,1.104899999999816,524.2946500000003,-0.09524999999894135,-0.00018163965400352198
corkboard,sticky_notes,s001,six_max,naked,523.2849999999994,973.5599999999995,1612.744999999999,115.90000000000009,0.0774295267713091
corkboard,calculator,s001,six_max,naked,523.2849999999994,0,523.2849999999994,0,0
corkboard,space_heater,s001,six_max,naked,523.2849999999994,138.4692,649.8171999999995,-11.936999999999898,-0.01803841970326733
corkboard,desk_plant,s001,six_max,naked,523.2849999999994,627.9420000000005,1151.2269999999999,0,0
corkboard,headset,s001,six_max,naked,523.2849999999994,0,523.2849999999994,0,0
corkboard,nes_console,s001,six_max,naked,523.2849999999994,0,523.2849999999994,0,0
corkboard,gameboy,s001,six_max,naked,523.2849999999994,0,523.2849999999994,0,0
corkboard,red_rug,s001,six_max,naked,523.2849999999994,0,523.2849999999994,0,0
corkboard,second_monitor,s001,six_max,naked,523.2849999999994,0,523.2849999999994,0,0
corkboard,toaster,s001,six_max,naked,523.2849999999994,625.1428799999994,1251.2810799999997,102.85320000000092,0.08955999918776009
corkboard,nightstand,s001,six_max,naked,523.2849999999994,0,523.2849999999994,0,0
corkboard,desk_speakers,s001,six_max,naked,523.2849999999994,0,523.2849999999994,0,0
corkboard,bookshelf,s001,six_max,naked,523.2849999999994,0,523.2849999999994,0,0
stack_of_books,throw_pillow,s001,six_max,naked,163.79999999999973,43.02149999999938,206.82150000000001,9.094947017729282e-13,4.397486246705164e-15
