id,name,variant,band,cost,coverage,stake,stake_band,gtype,fill,base_ev,base_ev_bb,ev,d_ev,d_hr,d_hr_per_chip,d_bb,d_bbhr,d_bbhr_per_chip,d_stack,d_wc,rel
wall_hanger,Wall Hanger,base,A,2,modeled,s001,low,six_max,naked,0.3201894,16.00947,0.3349734,0.014783999999999964,2.956799999999987,1.4783999999999935,0.7392000000000003,147.8399999999997,73.91999999999985,0,0,0.04617267155002621
wall_hanger,Wall Hanger,corrupt,A,2,modeled,s001,low,six_max,naked,0.3201894,16.00947,0.6158694,0.29568,59.135999999999996,29.567999999999998,14.783999999999999,2956.7999999999993,1478.3999999999996,0,0,0.9234534310005266
mirror,Mirror,base,A,3,modeled,s001,low,six_max,naked,0.3201894,16.00947,0.3201894,0,0,0,0,0,0,0,0,0
mirror,Mirror,corrupt,A,2,modeled,s001,low,six_max,naked,0.3201894,16.00947,0.3201894,0,0,0,0,0,0,0,0,0
fight_night_poster,Fight Night Poster,base,A,4,not modeled,s001,low,six_max,naked,0.3201894,16.00947,0.3201894,0,0,0,0,0,0,0,0,0
fight_night_poster,Fight Night Poster,corrupt,A,3,not modeled,s001,low,six_max,naked,0.3201894,16.00947,0.3201894,0,0,0,0,0,0,0,0,0
energy_drink,Energy Drink,base,A,3,proc,s001,low,six_max,naked,0.3201894,16.00947,0.3201894,0,0,0,0,0,0,0,0,0
energy_drink,Energy Drink,corrupt,A,2,proc,s001,low,six_max,naked,0.3201894,16.00947,0.3201894,0,0,0,0,0,0,0,0,0
corkboard,Corkboard,base,A,4,modeled,s001,low,six_max,naked,0.3201894,16.00947,0.3725179,0.0523285,10.465699999999998,2.6164249999999996,2.6164249999999996,523.2849999999994,130.82124999999985,0.09999999999999998,0.04999999999999999,0.16342983246790804
corkboard,Corkboard,corrupt,A,2,modeled,s001,low,six_max,naked,0.3201894,16.00947,0.5295034,0.20931399999999994,41.86279999999999,20.931399999999996,10.465699999999998,2093.1399999999994,1046.5699999999997,0.4,0.2,0.6537193298716321
stack_of_books,Stack of Books,base,A,4,modeled,s001,low,six_max,naked,0.3201894,16.00947,0.3365694,0.016380000000000006,3.2759999999999962,0.8189999999999991,0.8189999999999991,163.79999999999973,40.94999999999993,0,0,0.051157221319631456
stack_of_books,Stack of Books,corrupt,A,3,modeled,s001,low,six_max,naked,0.3201894,16.00947,0.3496734,0.02948400000000001,5.896800000000013,1.9656000000000045,1.4741999999999997,294.8399999999997,98.2799999999999,0,0,0.09208299837533662
throw_pillow,Throw Pillow,base,A,4,modeled,s001,low,six_max,naked,0.3201894,16.00947,0.32449155,0.004302150000000005,0.8604299999999938,0.21510749999999845,0.21510749999999845,43.02149999999938,10.755374999999844,0,0,0.013436266159966584
throw_pillow,Throw Pillow,corrupt,A,2,modeled,s001,low,six_max,naked,0.3201894,16.00947,0.29985924,-0.020330159999999986,-4.066031999999993,-2.0330159999999964,-1.016508,-203.30160000000024,-101.65080000000012,0,0,-0.06349416938849314
starter_gift_box,Starter Gift Box,base,A,4,not modeled,s001,low,six_max,naked,0.3201894,16.00947,0.3201894,0,0,0,0,0,0,0,0,0
starter_gift_box,Starter Gift Box,corrupt,A,3,not modeled,s001,low,six_max,naked,0.3201894,16.00947,0.3201894,0,0,0,0,0,0,0,0,0
lava_lamp,Lava Lamp,base,A,5,modeled,s001,low,six_max,naked,0.3201894,16.00947,0.3662298,0.04604039999999998,9.208079999999995,1.841615999999999,2.302019999999999,460.404,92.0808,0,0,0.1437911436168717
lava_lamp,Lava Lamp,corrupt,A,3,modeled,s001,low,six_max,naked,0.3201894,16.00947,0.4583106,0.1381212,27.62424,9.20808,6.90606,1381.2119999999995,460.4039999999998,0,0,0.43137343085061525
comfort_bed,Comfort Bed,base,A,4,modeled,s001,low,six_max,naked,0.3201894,16.00947,0.32029989,0.00011048999999996312,0.02209799999999973,0.005524499999999932,0.005524499999999932,1.104899999999816,0.276224999999954,0,0,0.00034507700754604344
comfort_bed,Comfort Bed,corrupt,A,2,not modeled,s001,low,six_max,naked,0.3201894,16.00947,0.3201894,0,0,0,0,0,0,0,0,0
yellow_sticky_note,Yellow Sticky Note,base,A,5,modeled,s001,low,six_max,naked,0.3201894,16.00947,0.4175454,0.097356,19.471199999999996,3.894239999999999,4.867799999999999,973.5599999999995,194.7119999999999,0,0,0.304057535945912
yellow_sticky_note,Yellow Sticky Note,corrupt,A,4,modeled,s001,low,six_max,naked,0.3201894,16.00947,1.4884614,1.168272,233.65439999999998,58.413599999999995,58.413599999999995,11682.719999999998,2920.6799999999994,0,0,3.648690431350944
rubber_duck,Rubber Duck,base,A,5,not modeled,s001,low,six_max,naked,0.3201894,16.00947,0.3201894,0,0,0,0,0,0,0,0,0
rubber_duck,Rubber Duck,corrupt,A,2,modeled,s001,low,six_max,naked,0.3201894,16.00947,0.0558834,-0.26430600000000004,-52.861200000000004,-26.430600000000002,-13.215300000000001,-2643.0600000000004,-1321.5300000000002,0,0,-0.8254676763190787
stash_box,Stash Box,base,B,6,not modeled,s001,low,six_max,naked,0.3201894,16.00947,0.3201894,0,0,0,0,0,0,0,0,0
stash_box,Stash Box,corrupt,B,3,not modeled,s001,low,six_max,naked,0.3201894,16.00947,0.3201894,0,0,0,0,0,0,0,0,0
dogs_playing_poker,Dogs Playing Poker,base,B,6,proc,s001,low,six_max,naked,0.3201894,16.00947,0.3201894,0,0,0,0,0,0,0,0,0
dogs_playing_poker,Dogs Playing Poker,corrupt,B,3,proc,s001,low,six_max,naked,0.3201894,16.00947,0.3201894,0,0,0,0,0,0,0,0,0
calculator,Calculator,base,B,7,modeled,s001,low,six_max,naked,0.3201894,16.00947,0.3201894,0,0,0,0,0,0,0,0,0
calculator,Calculator,corrupt,B,4,modeled,s001,low,six_max,naked,0.3201894,16.00947,0.3201894,0,0,0,0,0,0,0,0,0
ring_binder,Ring Binder,base,B,7,not modeled,s001,low,six_max,naked,0.3201894,16.00947,0.3201894,0,0,0,0,0,0,0,0,0
ring_binder,Ring Binder,corrupt,B,4,not modeled,s001,low,six_max,naked,0.3201894,16.00947,0.3201894,0,0,0,0,0,0,0,0,0
space_heater,Space Heater,base,B,8,modeled,s001,low,six_max,naked,0.3201894,16.00947,0.33403632,0.013846919999999985,2.769383999999988,0.3461729999999985,0.6923460000000006,138.4692,17.30865,0,0,0.04324602875672956
space_heater,Space Heater,corrupt,B,8,modeled,s001,low,six_max,naked,0.3201894,16.00947,0.1817202,-0.13846920000000001,-27.69384,-3.46173,-6.92346,-1384.6920000000002,-173.08650000000003,0,0,-0.43246028756729615
pencil_holder,Pencil Holder,base,B,8,not modeled,s001,low,six_max,naked,0.3201894,16.00947,0.3201894,0,0,0,0,0,0,0,0,0
pencil_holder,Pencil Holder,corrupt,B,4,not modeled,s001,low,six_max,naked,0.3201894,16.00947,0.3201894,0,0,0,0,0,0,0,0,0
bonsai,Bonsai,base,B,10,not modeled,s001,low,six_max,naked,0.3201894,16.00947,0.3201894,0,0,0,0,0,0,0,0,0
bonsai,Bonsai,corrupt,B,5,not modeled,s001,low,six_max,naked,0.3201894,16.00947,0.3201894,0,0,0,0,0,0,0,0,0
desk_plant,Desk Plant,base,B,8,modeled,s001,low,six_max,naked,0.3201894,16.00947,0.3829836,0.06279419999999997,12.55883999999999,1.5698549999999987,3.139710000000001,627.9420000000005,78.49275000000006,0.12,0.06,0.19611579896148956
