order,step,item,cost,cum_chips,hr_act1,hr_act2,shove_t3
cheapest_first,0,(none),0,0,6.3285975203489215,-274245587.1271916,0
cheapest_first,1,wall_hanger,2,2,27.85187165162307,-273244909.7720025,0.03
cheapest_first,2,mirror,3,5,97.00787165162308,-272853117.47349507,0.06
cheapest_first,3,energy_drink,3,8,97.00787165162308,-272853117.47349507,0.09
cheapest_first,4,fight_night_poster,4,12,97.00787165162308,-272853117.47349507,0.12
cheapest_first,5,corkboard,4,16,203.07994828887698,-245716658.5005336,0.15000000000000002
cheapest_first,6,stack_of_books,4,20,231.69660935988622,-243106464.31259152,0.18
cheapest_first,7,throw_pillow,4,24,259.98053704561624,-233184711.43452188,0.21000000000000002
cheapest_first,8,starter_gift_box,4,28,259.98053704561624,-233184711.43452188,0.24
cheapest_first,9,comfort_bed,4,32,272.7978237076029,-213449215.5900443,0.27
cheapest_first,10,lava_lamp,5,37,342.4708024720836,-207614209.32146397,0.30000000000000004
cheapest_first,11,yellow_sticky_note,5,42,514.1606903560872,-197883827.82150358,0.33
cheapest_first,12,rubber_duck,5,47,514.1606903560872,-197883827.82150358,0.36
cheapest_first,13,dusty_console,5,52,538.8573554210224,-197752310.69053343,0.39
cheapest_first,14,handheld,5,57,550.1882812846072,-185955058.54133344,0.42000000000000004
cheapest_first,15,stash_box,6,63,550.1882812846072,-185955058.54133344,0.44999999999999996
cheapest_first,16,dogs_playing_poker,6,69,550.1882812846072,-185955058.54133344,0.48
cheapest_first,17,headset,6,75,572.8501330117867,-162360554.24294677,0.51
cheapest_first,18,calculator,7,82,572.8501330117867,-115480330.57791844,0.54
cheapest_first,19,ring_binder,7,89,572.8501330117867,-115480330.57791844,0.5700000000000001
cheapest_first,20,candle,7,96,572.8501330117867,-115480330.57791844,0.6000000000000001
cheapest_first,21,space_heater,8,104,639.0032950282391,-75726530.60234138,0.63
cheapest_first,22,pencil_holder,8,112,639.0032950282391,-75726530.60234138,0.66
cheapest_first,23,house_cat,8,120,639.0032950282391,-75726530.60234138,0.6900000000000001
cheapest_first,24,red_rug,8,128,639.0032950282391,-75726530.60234138,0.72
cheapest_first,25,desk,9,137,639.0032950282391,-75726530.60234138,0.75
cheapest_first,26,rolled_vouchers,9,146,639.0032950282391,-75726530.60234138,0.78
cheapest_first,27,bonsai,10,156,639.0032950282391,-75726530.60234138,0.81
cheapest_first,28,desk_plant,8,164,728.2307423255364,-62317639.7889365,0.8400000000000001
cheapest_first,29,rebuy_sticky_note,10,174,728.2307423255364,-62317639.7889365,0.8699999999999999
cheapest_first,30,gaming_chair,10,184,728.2307423255364,-62317639.7889365,0.8999999999999999
cheapest_first,31,second_monitor,10,194,728.2307423255364,-75721344.66008885,0.9299999999999999
cheapest_first,32,desk_speakers,10,204,728.2307423255364,-75628763.25969024,0.96
cheapest_first,33,electric_kettle,11,215,728.2307423255364,-75628763.25969024,0.99
cheapest_first,34,prize_vase,12,227,728.2307423255364,-75628763.25969024,0.99
cheapest_first,35,compact_fridge,12,239,728.2307423255364,-75628763.25969024,0.99
cheapest_first,36,wall_clock,12,251,728.2307423255364,-75628763.25969024,0.99
cheapest_first,37,dish_soap,12,263,728.2307423255364,-75628763.25969024,0.99
cheapest_first,38,box_of_mice,13,276,728.2307423255364,-75628763.25969024,0.99
cheapest_first,39,laptop_terminal,12,288,728.2307423255364,-75628763.25969024,0.99
cheapest_first,40,gaming_keyboard,12,300,728.2307423255364,-75628763.25969024,0.99
cheapest_first,41,wacom_tablet,13,313,728.2307423255364,-75628763.25969024,0.99
cheapest_first,42,desk_lamp,10,323,728.2307423255364,-75628763.25969024,0.99
cheapest_first,43,telephone,12,335,728.2307423255364,-75628763.25969024,0.99
cheapest_first,44,glass_partition,12,347,728.2307423255364,-75628763.25969024,0.99
cheapest_first,45,nightstand,13,360,728.2307423255364,-63475846.05964274,0.99
cheapest_first,46,curved_monitor,13,373,728.2307423255364,-63475846.05964274,0.99
cheapest_first,47,chrome_toaster,14,387,935.525851174604,-31287074.667719014,0.99
cheapest_first,48,tower_upgrade,14,401,935.525851174604,-31287074.667719014,0.99
cheapest_first,49,first_aid_kit,16,417,935.525851174604,-31287074.667719014,0.99
cheapest_first,50,cool_towel,16,433,935.525851174604,-31287074.667719014,0.99
cheapest_first,51,whiteboard,17,450,935.525851174604,-31287074.667719014,0.99
cheapest_first,52,microwave_oven,18,468,935.525851174604,-31287074.667719014,0.99
cheapest_first,53,framed_diploma,18,486,935.525851174604,-31287074.667719014,0.99
cheapest_first,54,shredder,18,504,935.525851174604,-31287074.667719014,0.99
cheapest_first,55,waste_basket,18,522,935.525851174604,-31287074.667719014,0.99
cheapest_first,56,receipt_printer,19,541,935.525851174604,-31287074.667719014,0.99
cheapest_first,57,laminated_blueprint,19,560,935.525851174604,-31287074.667719014,0.99
cheapest_first,58,copy_machine,19,579,935.525851174604,-31287074.667719014,0.99
cheapest_first,59,high_roller_pass,19,598,935.525851174604,-31287074.667719014,0.99
cheapest_first,60,window,20,618,935.525851174604,-31287074.667719014,0.99
